ProductKey,OrderDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Product Standard Cost,Total Product Cost,Order Total
345,20210707,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
348,20210707,1,4,"$2,024.99","$8,099.98","$1,898.09","$7,592.38","$8,099.98"
229,20210707,1,1,$28.84,$28.84,$31.72,$31.72,$28.84
235,20210707,1,1,$28.84,$28.84,$31.72,$31.72,$28.84
350,20210707,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
344,20210707,1,3,"$2,039.99","$6,119.98","$1,912.15","$5,736.46","$6,119.98"
346,20210707,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
351,20210707,1,1,"$2,024.99","$2,024.99","$1,898.09","$1,898.09","$2,024.99"
220,20210707,1,2,$20.19,$40.37,$12.03,$24.06,$40.37
346,20210707,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
212,20210707,1,1,$20.19,$20.19,$12.03,$12.03,$20.19
232,20210707,1,2,$28.84,$57.68,$31.72,$63.45,$57.68
350,20210707,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
223,20210707,1,2,$5.19,$10.37,$5.71,$11.41,$10.37
348,20210707,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
351,20210707,1,1,"$2,024.99","$2,024.99","$1,898.09","$1,898.09","$2,024.99"
218,20210707,1,6,$5.70,$34.20,$3.40,$20.38,$34.20
349,20210707,1,1,"$2,024.99","$2,024.99","$1,898.09","$1,898.09","$2,024.99"
304,20210710,1,1,$714.70,$714.70,$617.03,$617.03,$714.70
314,20210715,1,1,"$2,146.96","$2,146.96","$2,171.29","$2,171.29","$2,146.96"
229,20210715,1,2,$28.84,$57.68,$31.72,$63.45,$57.68
317,20210715,1,1,$874.79,$874.79,$884.71,$884.71,$874.79
338,20210715,1,2,$419.46,$838.92,$413.15,$826.29,$838.92
275,20210715,1,2,$356.90,$713.80,$352.14,$704.28,$713.80
328,20210715,1,2,$419.46,$838.92,$413.15,$826.29,$838.92
316,20210715,1,2,$874.79,"$1,749.59",$884.71,"$1,769.42","$1,749.59"
330,20210715,1,2,$419.46,$838.92,$413.15,$826.29,$838.92
235,20210715,1,1,$28.84,$28.84,$31.72,$31.72,$28.84
220,20210715,1,1,$20.19,$20.19,$12.03,$12.03,$20.19
215,20210715,1,1,$20.19,$20.19,$12.03,$12.03,$20.19
349,20210720,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
232,20210720,1,2,$28.84,$57.68,$31.72,$63.45,$57.68
346,20210720,1,2,"$2,039.99","$4,079.99","$1,912.15","$3,824.31","$4,079.99"
347,20210720,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
215,20210720,1,1,$20.19,$20.19,$12.03,$12.03,$20.19
220,20210720,1,2,$20.19,$40.37,$12.03,$24.06,$40.37
223,20210720,1,3,$5.19,$15.56,$5.71,$17.12,$15.56
348,20210720,1,4,"$2,024.99","$8,099.98","$1,898.09","$7,592.38","$8,099.98"
350,20210720,1,6,"$2,024.99","$12,149.96","$1,898.09","$11,388.57","$12,149.96"
345,20210720,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
212,20210720,1,3,$20.19,$60.56,$12.03,$36.08,$60.56
351,20210720,1,5,"$2,024.99","$10,124.97","$1,898.09","$9,490.47","$10,124.97"
218,20210720,1,6,$5.70,$34.20,$3.40,$20.38,$34.20
319,20210724,1,3,$874.79,"$2,624.38",$884.71,"$2,654.12","$2,624.38"
326,20210724,1,1,$419.46,$419.46,$413.15,$413.15,$419.46
342,20210724,1,1,$419.46,$419.46,$413.15,$413.15,$419.46
346,20210802,1,1,"$2,039.99","$2,039.99","$1,912.15","$1,912.15","$2,039.99"
351,20210802,1,1,"$2,024.99","$2,024.99","$1,898.09","$1,898.09","$2,024.99"
348,20210802,1,1,"$2,024.99","$2,024.99","$1,898.09","$1,898.09","$2,024.99"
349,20210802,1,4,"$2,024.99","$8,099.98","$1,898.09","$7,592.38","$8,099.98"
344,20210802,1,2,"$2,039.99","$4,079.99","$1,912.15","$3,824.31","$4,079.99"
349,20210803,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
229,20210803,1,1,$28.84,$28.84,$31.72,$31.72,$28.84
350,20210803,1,2,"$2,024.99","$4,049.99","$1,898.09","$3,796.19","$4,049.99"
344,20210803,1,2,"$2,039.99","$4,079.99","$1,912.15","$3,824.31","$4,079.99"
