LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet
LINC-100000,CGL-200000,"1924 17 Ave SW, Calgary, AB",Panorama Hills,Condo,2,1.7,1022246,1963,3271
LINC-100001,CGL-200001,"9035 17 Ave SW, Calgary, AB",Signal Hill,Condo,1,1.1,479258,1979,2569
LINC-100002,CGL-200002,"9963 17 Ave SW, Calgary, AB",Signal Hill,Detached,5,2.3,721029,1985,526
LINC-100003,CGL-200003,"2715 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,1.5,1050581,1993,918
LINC-100004,CGL-200004,"1619 Centre St N, Calgary, AB",Beltline,Condo,3,2.8,1096335,1955,3488
LINC-100005,CGL-200005,"7627 Crowchild Trail NW, Calgary, AB",Beltline,Condo,1,2.7,1119693,1996,2864
LINC-100006,CGL-200006,"3250 Elbow Dr SW, Calgary, AB",Beltline,Detached,2,3.3,333667,1979,913
LINC-100007,CGL-200007,"6327 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,3,1.5,622528,1976,3245
LINC-100008,CGL-200008,"4474 Elbow Dr SW, Calgary, AB",Panorama Hills,Townhouse,1,2.8,429451,2018,3486
LINC-100009,CGL-200009,"4110 8 Ave NE, Calgary, AB",Mahogany,Condo,3,4.0,921088,2021,1399
LINC-100010,CGL-200010,"5413 Memorial Dr NE, Calgary, AB",Seton,Detached,2,3.5,1094151,1990,2143
LINC-100011,CGL-200011,"4486 17 Ave SW, Calgary, AB",Brentwood,Townhouse,3,1.6,773481,2000,3133
LINC-100012,CGL-200012,"7617 8 Ave NE, Calgary, AB",Tuscany,Detached,2,3.2,815158,1983,2894
LINC-100013,CGL-200013,"7119 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,2,4.0,395051,2015,2521
LINC-100014,CGL-200014,"1589 Memorial Dr NE, Calgary, AB",Beltline,Detached,2,2.9,1080555,2004,2942
LINC-100015,CGL-200015,"1140 Centre St N, Calgary, AB",Mahogany,Townhouse,4,2.6,830099,1951,3286
LINC-100016,CGL-200016,"1976 Elbow Dr SW, Calgary, AB",Signal Hill,Condo,3,1.3,705884,1970,2358
LINC-100017,CGL-200017,"153 Elbow Dr SW, Calgary, AB",Panorama Hills,Condo,5,3.3,782342,1963,3061
LINC-100018,CGL-200018,"4989 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,5,1.6,642077,1970,2709
LINC-100019,CGL-200019,"8789 17 Ave SW, Calgary, AB",Signal Hill,Condo,4,1.1,630612,1989,1480
LINC-100020,CGL-200020,"1049 8 Ave NE, Calgary, AB",Signal Hill,Detached,1,3.2,1105662,1958,2681
LINC-100021,CGL-200021,"2160 8 Ave NE, Calgary, AB",Panorama Hills,Condo,5,1.5,803306,2004,1367
LINC-100022,CGL-200022,"8935 Memorial Dr NE, Calgary, AB",Panorama Hills,Townhouse,2,3.1,668373,1997,2294
LINC-100023,CGL-200023,"8579 Centre St N, Calgary, AB",Beltline,Detached,2,1.2,272056,2020,1442
LINC-100024,CGL-200024,"9741 8 Ave NE, Calgary, AB",Beltline,Detached,1,1.7,1199401,1954,1853
LINC-100025,CGL-200025,"1260 Crowchild Trail NW, Calgary, AB",Brentwood,Condo,4,1.6,388739,2023,2860
LINC-100026,CGL-200026,"7844 8 Ave NE, Calgary, AB",Seton,Condo,4,1.6,351639,2005,1951
LINC-100027,CGL-200027,"7039 Centre St N, Calgary, AB",Mahogany,Townhouse,1,3.0,927568,1962,748
LINC-100028,CGL-200028,"6696 Elbow Dr SW, Calgary, AB",Tuscany,Detached,2,1.6,812336,2007,1074
LINC-100029,CGL-200029,"7012 8 Ave NE, Calgary, AB",Tuscany,Condo,2,3.6,329046,2006,2754
LINC-100030,CGL-200030,"1704 17 Ave SW, Calgary, AB",Panorama Hills,Townhouse,1,3.9,1040170,1980,1181
LINC-100031,CGL-200031,"6758 Centre St N, Calgary, AB",Mahogany,Detached,4,3.7,422634,1998,508
LINC-100032,CGL-200032,"6496 MacLeod Trail SE, Calgary, AB",Seton,Condo,3,2.3,1015990,2021,3211
LINC-100033,CGL-200033,"8073 8 Ave NE, Calgary, AB",Brentwood,Condo,2,3.9,857314,2019,749
LINC-100034,CGL-200034,"5238 17 Ave SW, Calgary, AB",Beltline,Townhouse,4,2.5,1144141,2017,1144
LINC-100035,CGL-200035,"1031 Crowchild Trail NW, Calgary, AB",Beltline,Detached,1,2.8,958011,1980,2153
LINC-100036,CGL-200036,"2064 Crowchild Trail NW, Calgary, AB",Brentwood,Townhouse,5,1.1,335965,2003,3192
LINC-100037,CGL-200037,"9662 Crowchild Trail NW, Calgary, AB",Signal Hill,Condo,3,1.6,1000981,1990,1477
LINC-100038,CGL-200038,"4451 Centre St N, Calgary, AB",Brentwood,Townhouse,3,2.4,1038387,1959,538
LINC-100039,CGL-200039,"7608 Crowchild Trail NW, Calgary, AB",Signal Hill,Detached,1,2.6,780458,1983,1042
LINC-100040,CGL-200040,"5818 17 Ave SW, Calgary, AB",Brentwood,Condo,3,1.5,1124244,2019,3381
LINC-100041,CGL-200041,"5056 Crowchild Trail NW, Calgary, AB",Seton,Townhouse,5,1.0,1106795,2020,1726
LINC-100042,CGL-200042,"1797 8 Ave NE, Calgary, AB",Tuscany,Detached,1,3.2,412998,1984,1654
LINC-100043,CGL-200043,"3550 Elbow Dr SW, Calgary, AB",Tuscany,Detached,3,2.5,513319,1956,878
LINC-100044,CGL-200044,"7039 Memorial Dr NE, Calgary, AB",Tuscany,Detached,1,2.0,387174,1983,1161
LINC-100045,CGL-200045,"7339 Crowchild Trail NW, Calgary, AB",Panorama Hills,Condo,5,1.0,328898,1969,2734
LINC-100046,CGL-200046,"690 Memorial Dr NE, Calgary, AB",Tuscany,Townhouse,5,1.4,383636,1955,1762
LINC-100047,CGL-200047,"6074 Memorial Dr NE, Calgary, AB",Seton,Detached,3,1.6,511650,1963,1948
LINC-100048,CGL-200048,"9273 Memorial Dr NE, Calgary, AB",Mahogany,Townhouse,2,3.8,498237,1970,1225
LINC-100049,CGL-200049,"6855 17 Ave SW, Calgary, AB",Brentwood,Townhouse,3,3.3,681712,1981,1592
LINC-100050,CGL-200050,"2708 Memorial Dr NE, Calgary, AB",Panorama Hills,Detached,4,3.6,1150300,2010,1411
LINC-100051,CGL-200051,"3369 Memorial Dr NE, Calgary, AB",Mahogany,Condo,3,3.5,1163648,1979,1413
LINC-100052,CGL-200052,"487 Elbow Dr SW, Calgary, AB",Brentwood,Condo,3,1.8,322792,1985,1938
LINC-100053,CGL-200053,"8446 Centre St N, Calgary, AB",Panorama Hills,Townhouse,3,3.8,370944,1983,1231
LINC-100054,CGL-200054,"9612 MacLeod Trail SE, Calgary, AB",Beltline,Detached,5,2.3,1013934,1990,2287
LINC-100055,CGL-200055,"8479 17 Ave SW, Calgary, AB",Mahogany,Townhouse,2,1.8,993215,2005,506
LINC-100056,CGL-200056,"8618 Memorial Dr NE, Calgary, AB",Signal Hill,Townhouse,2,2.1,323372,1992,3052
