LINC,Listing_Number,Address,Community,Property_Type,Bedrooms,Bathrooms,Listing_Price,Year_Built,Square_Feet,Latitude,Longitude
LINC-100000,CGL-200000,"1924 17 Ave SW, Calgary, AB",Panorama Hills,Condo,2,1.7,1022246,1963,3271,50.985065,-114.21476
LINC-100001,CGL-200001,"9035 17 Ave SW, Calgary, AB",Signal Hill,Condo,1,1.1,479258,1979,2569,51.063815,-113.94468
LINC-100002,CGL-200002,"9963 17 Ave SW, Calgary, AB",Signal Hill,Detached,5,2.3,721029,1985,526,51.087825,-113.96172
LINC-100003,CGL-200003,"2715 Elbow Dr SW, Calgary, AB",Mahogany,Condo,3,1.5,1050581,1993,918,51.15786,-114.08936
LINC-100004,CGL-200004,"1619 Centre St N, Calgary, AB",Beltline,Condo,3,2.8,1096335,1955,3488,51.087965,-114.1446
LINC-100005,CGL-200005,"7627 Crowchild Trail NW, Calgary, AB",Beltline,Condo,1,2.7,1119693,1996,2864,51.080685,-113.91972
LINC-100006,CGL-200006,"3250 Elbow Dr SW, Calgary, AB",Beltline,Detached,2,3.3,333667,1979,913,50.869425,-114.23084
LINC-100007,CGL-200007,"6327 MacLeod Trail SE, Calgary, AB",Mahogany,Townhouse,3,1.5,622528,1976,3245,50.893085,-114.2806
LINC-100009,CGL-200009,"4110 8 Ave NE, Calgary, AB",Mahogany,Condo,3,4.0,921088,2021,1399,50.892805,-113.94832
LINC-100010,CGL-200010,"5413 Memorial Dr NE, Calgary, AB",Seton,Detached,2,3.5,1094151,1990,2143,51.092445,-114.15416
LINC-100011,CGL-200011,"4486 17 Ave SW, Calgary, AB",Brentwood,Townhouse,3,1.6,773481,2000,3133,50.872715,-114.03852
LINC-100012,CGL-200012,"7617 8 Ave NE, Calgary, AB",Tuscany,Detached,2,3.2,815158,1983,2894,50.93442,-114.205
LINC-100013,CGL-200013,"7119 Crowchild Trail NW, Calgary, AB",Mahogany,Condo,2,4.0,395051,2015,2521,51.199545,-114.07592
LINC-100014,CGL-200014,"1589 Memorial Dr NE, Calgary, AB",Beltline,Detached,2,2.9,1080555,2004,2942,51.075085,-113.99728
