Listing_ID,Property_ID,Community,Price_Cluster,Listing_Price,Sold_Price,Listing_Date,Sold_Date,Bedrooms,Bathrooms,Garage_Stalls,Size_sqft,Year_Built,Days_on_Market,Interest_Rate,Unemployment_Rate,Ownership_Type,Property_Age,Renovation_Status,Year,Downturn_2015_2016,Boom_2021,Rate_Hike_2022_2023,Assessed_Value,Assessment_Gap,Assessment_Ratio
RD-100000,2126,Sunnybrook,Premium,707901.0,751176.3,2022-03-04,2022-04-06,4,2,0,2418,1983,33,4.5,5.9,Owner-Occupied,41,Renovated,2022,0,0,1,742110.8539178574,9065.446082142647,1.012215757301329
RD-100001,2459,Inglewood,Entry,344398.0,363831.3,2021-02-11,2021-03-10,2,1,0,1764,1988,27,2.0,7.8,Owner-Occupied,36,Renovated,2021,0,1,0,351843.0848277334,11988.215172266588,1.0340726184177704
RD-100002,1860,Oriole Park,Entry,374473.0,363385.0,2021-04-17,2021-06-11,3,4,2,1759,1992,55,2.0,7.8,Owner-Occupied,32,Not Renovated,2021,0,1,0,348409.8506943125,14975.149305687519,1.0429814176489125
RD-100003,2294,Clearview Ridge,Mid-Low,330625.0,338673.3,2024-01-14,2024-02-28,4,2,0,1596,2023,45,4.75,6.1,Owner-Occupied,1,Renovated,2024,0,0,0,324312.19432657055,14361.10567342944,1.044281731999779
RD-100004,2130,Timberlands,Mid,404309.0,436575.30000000005,2016-02-01,2016-05-07,4,1,2,2136,2004,96,2.5,8.1,Investor,20,Renovated,2016,1,0,0,429592.2255534379,6983.074446562154,1.0162551229542527
RD-100005,2095,Oriole Park,Entry,267870.0,273598.5,2019-03-31,2019-04-25,6,3,2,1500,1987,25,3.5,6.8,Investor,37,Renovated,2019,0,0,0,265248.11933205643,8350.380667943566,1.0314813944354115
RD-100006,2724,Anders Park,Premium,348668.0,345840.0,2017-07-22,2017-10-09,2,4,1,1376,2004,79,2.75,7.0,Investor,20,Not Renovated,2017,0,0,0,347539.18966443464,-1699.1896644346416,0.9951107969547973
RD-100007,2044,Lancaster Green,Mid-High,494389.0,501185.0,2019-02-25,2019-05-31,4,1,2,2272,2015,95,3.5,6.8,Owner-Occupied,9,Not Renovated,2019,0,0,0,504928.9514014784,-3743.951401478378,0.9925851916569912
RD-100008,2638,Clearview Ridge,Mid-Low,269420.0,273881.0,2016-10-31,2017-03-03,6,2,2,1452,1995,123,2.5,8.1,Owner-Occupied,29,Not Renovated,2017,0,0,0,256641.84468888032,17239.155311119684,1.0671720363139465
RD-100009,1121,Timberlands,Mid,366083.0,380113.65,2017-07-27,2017-08-09,4,1,0,1721,2011,13,2.75,7.0,Owner-Occupied,13,Renovated,2017,0,0,0,354882.9850541874,25230.664945812605,1.0710957301657056
RD-100010,1466,Clearview Ridge,Mid-Low,463288.0,488243.7,2022-05-08,2022-09-17,5,2,1,2216,1983,132,4.5,5.9,Investor,41,Renovated,2022,0,0,1,479963.1320611243,8280.567938875698,1.0172525083402055
RD-100011,2238,Clearview Ridge,Mid-Low,408914.0,398877.0,2017-12-12,2018-05-15,5,3,0,2095,1983,154,2.75,7.0,Owner-Occupied,41,Not Renovated,2018,0,0,0,378982.0422709838,19894.957729016198,1.0524957795092325
RD-100012,1330,Westlake,Mid-High,457018.0,459648.0,2015-07-12,2015-08-14,3,4,2,2185,1979,33,2.75,7.2,Owner-Occupied,45,Not Renovated,2015,1,0,0,423729.759373894,35918.24062610598,1.084766858667607
RD-100013,2482,Vanier Woods,Mid,450770.0,458035.0,2020-04-01,2020-08-19,2,1,2,2033,2009,140,2.45,9.5,Owner-Occupied,15,Not Renovated,2020,0,0,0,462095.1445061661,-4060.144506166107,0.9912136179000428
RD-100014,1087,Vanier Woods,Mid,390028.0,384491.0,2018-10-25,2018-11-27,3,4,0,1790,2021,33,3.0,6.5,Investor,3,Not Renovated,2018,0,0,0,362455.8502898339,22035.149710166093,1.0607940241343765
